PageID,TextDisplayValue
59944,HIGH MOBILITY DECONTAMINATION SYSTEM
59949,General Safety Warnings
59942,HIGH MOBILITY DECONTAMINATION SYSTEM
59952,HIGH MOBILITY DECONTAMINATION SYSTEM
59940,CBRN PROTECTION
59955,SYSTEM OVERVIEW
59940,High Mobility Decontamination System (HMDS)
59954,The High Mobility Decontamination System
59954,The Heavy Motor Demolition System
59941,Course Navigation
59953,Specific Safety Warnings
59954,What does the acronym ?HMDS? stand for?
59951,"WARNINGWhen working with any decontaminant, take appropriate measures to avoid getting the substance into the eyes and mouth or onto the skin. In the event of eye, mouth, or skin contact, refer to the Safety Data Sheet (SDS) for emergencies or first aid. WARNINGLiquids deployed by this system may be slippery. Every effort should be made to control accidental slippage and to avoid walking on areas where liquid has been spilled and/or applied. WARNINGNEVER operate the HMDS if an air line or discharge hose is worn/damaged, or if an air leak has been discovered. Once pressurized, a loose/leaking/damaged connection and/or hose may disconnect or rupture, potentially causing serious injury. WARNINGALWAYS treat the HMDS as though the discharge line(s) are pressurized. Once the system is pressurized, it will remain so until the air supply is turned off and the system is completely depressurized. A depressurized system can be identified by examining the air pressure gauge or the lack of a hissing sound. WARNINGALWAYS ensure that all connections, hoses, and nozzles are tightly attached while operating the HMDS. ALWAYS point all discharge devices in a safe direction."
60119,HIGH MOBILITY DECONTAMINATION SYSTEM
59949,HIGH MOBILITY DECONTAMINATION SYSTEM
59956,HIGH MOBILITY DECONTAMINATION SYSTEM
59945,Video
59954,The Heavy Military Decontamination System
60118,Check the Monitor?s power cable
59953,HIGH MOBILITY DECONTAMINATION SYSTEM
60119,Attach the Grounding Wire
60118,Introduction
59998,HIGH MOBILITY DECONTAMINATION SYSTEM
60122,The Discharge Hoses
59955,HIGH MOBILITY DECONTAMINATION SYSTEM
59952,"WARNINGThe HMDS engine runs on diesel fuel. Observe all applicable precautions when handling, storing, or dispensing fuels. WARNINGThe Power Unit uses a 12V DC battery to supply electrical energy to the starter. To mitigate risks associated with the battery/charging system, do not remove or install any cables while the system is running or energized. Never allow any object to touch metal components in the battery box or other electrical components. WARNINGDisconnect all battery cables before servicing the HMDS engine. WARNINGSome parts of this system, especially the exhaust system, may be hot to the touch during and after operation. NEVER attempt to service internal components while the HMDS is running! Once the system is shut down, allow adequate time for components to cool before attempting to service any internal components. WARNINGThe operator shall have a firm grip and wide stance while discharging a hose from a spray nozzle. The HMDS propels solutions with significant force! Once the system is pressurized, never release the hose prior to closing the discharge nozzle/D-bale hand set and/or the Pump Control valve. A loose discharge hose will whip around violently and can cause serious injury or equipment damage. Always close the Pump Control valve on the Power Unit's Control Panel and relieve pressure from the discharge line before releasing the hose."
60119,Turn on the Main Breaker
59943,3D Viewer
60074,HIGH MOBILITY DECONTAMINATION SYSTEM
59940,The following course has been optimized to run in Microsoft Edge
59946,SAFETY WARNINGS
59950,General Safety Warnings (continued)
59941,HIGH MOBILITY DECONTAMINATION SYSTEM
59945,HIGH MOBILITY DECONTAMINATION SYSTEM
60119,Attach the NATO Slave Cable
60119,Remove the Hopper/Blender from the Tank
59949,"WARNINGRemove all jewelry before starting work. Metal objects such as rings or tools can cause serious injuries and damage to equipment. WARNINGTo prevent injury to personnel and damage to equipment, disconnect the battery prior to maintenance actions. WARNINGTOXIC CHEMICALS, DIESEL FUEL, and VOLTAGE (12V DC) are used in the operation of the equipment. CARBON-MONOXIDE is present in the exhaust gases of the engine. WARNINGALWAYS wear military standard Personal Protective Equipment (PPE) when handling, mixing, and using decontamination solutions. WARNINGALWAYS wear hearing protection while operating within 30 feet of the Power Unit. WARNINGAn operator must be in attendance at all times during operation of the Power Unit. WARNINGMake certain that the fuel supply and fuel return lines are properly connected before operating the Power Unit."
60113,Remove and Clear Clogged Nozzle
60120,Attaching the Suction Hoses
60118,HIGH MOBILITY DECONTAMINATION SYSTEM
59950,HIGH MOBILITY DECONTAMINATION SYSTEM
59946,HIGH MOBILITY DECONTAMINATION SYSTEM
59953,"WARNINGPersonnel using the HMDS must be trained in the basic principles of decontamination in order to mitigate the risks of performing these inherently dangerous operations. WARNINGThe HMDS uses pressurized air (~100 psi) as an energy source to both create and propel decontamination solutions onto a target. Before operation, always verify that all hoses and accessories are properly connected. Always inspect the unit to ensure that the integrity of air lines and liquid hoses are not compromised and are serviceable In Accordance With (IAW) the Preventive Maintenance Checks and Services (PMCS) guidance set forth in this course. After operation, always turn off the Tank Drain Valves and discharge any fluids/pressure in the hose(s). Failure to do so can result in injury and/or system damage. WARNINGThe HMDS deploys various chemical and/or biological decontamination solutions. Operators must be fully trained in this type of operation. Mission Oriented Protective Posture (MOPP) is required prior, during, and after decontamination operations. WARNINGALWAYS wear eye and hearing protection while operating the HMDS."
59952,Specific Safety Warnings (continued)
59956,System Overview Objectives
59954,HIGH MOBILITY DECONTAMINATION SYSTEM
59954,Checks on Learning
60113,HIGH MOBILITY DECONTAMINATION SYSTEM
60120,Orient Tank Selector Valve Handle in Desired Direction
59998,Starting Up the System Quick Procedure
60122,Locate the Discharge Ports
60123,Agitating Both Tanks at the Same Time
60073,Problems and Corrective Actions
60113,Inspect the Function Selector Valves
60122,HIGH MOBILITY DECONTAMINATION SYSTEM
60127,Attach Selected Hose to Hopper/Blender Port on Main Tank
59954,Question: 1 of 5
60118,Test the Remote Control
60113,Introduction
60113,Examine the Hose
60123,Locate the Agitator Port
60120,Inspect the Black Banded Hose
60118,Monitor is not Responding
60124,Start the Power Unit
60119,Using the De-Icer
60119,Plug In the De-Icers
60118,Check the Purple Banded Hoses
60122,Attach a Handset to the Red Banded Hose
60125,The Monitor Hose
60122,Select and Attach a Nozzle
60113,Reattach the Nozzle to the Spray Bar
60126,The Front Spray Bar Wings
60120,Attach the Black Banded Hose to the Tank Selector Valve
60122,Introduction
60120,The Suction Hoses
60118,Check the Limit Switches
60125,HIGH MOBILITY DECONTAMINATION SYSTEM
60118,Check the Remote Control
60125,Locate the Monitor Port
60123,Attaching the Agitator Hose
60118,Test the Limit Switches
60119,Start the Truck with the Transmission and Brakes in Park
59954,CORRECT
60124,HIGH MOBILITY DECONTAMINATION SYSTEM
60125,Attach the Purple Banded Hose to the Monitor
59954,"The High Mobility Decontamination System (HMDS) is a modular, diesel-driven system specifically designed for rapid, mobile decontamination missions for terrain and military equipment."
60123,Attach Yellow Banded Hose to the Power Unit Agitator Port
60123,Introduction
