PageID,TextDisplayValue,UnitID,UnitName,Path,UnitPath
59940,High Mobility Decontamination System (HMDS),71116,High Mobility Decontamination System (HMDS),/-1(*)/00(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | High Mobility Decontamination System (HMDS)
59940,The following course has been optimized to run in Microsoft Edge,71116,High Mobility Decontamination System (HMDS),/-1(*)/00(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | High Mobility Decontamination System (HMDS)
59940,CBRN PROTECTION,71116,High Mobility Decontamination System (HMDS),/-1(*)/00(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | High Mobility Decontamination System (HMDS)
59940,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71116,High Mobility Decontamination System (HMDS),/-1(*)/00(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | High Mobility Decontamination System (HMDS)
59941,Course Navigation,71118,Course Navigation,/-1(*)/00(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Course Navigation
59941,HIGH MOBILITY DECONTAMINATION SYSTEM,71118,Course Navigation,/-1(*)/00(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Course Navigation
59941,Course Navigation,71118,Course Navigation,/-1(*)/00(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Course Navigation
59941,Course title and page name. Current page location in course. Left click the next or previous arrow to navigate to that page (when available).,71118,Course Navigation,/-1(*)/00(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Course Navigation
59941,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71118,Course Navigation,/-1(*)/00(*)/01(*)/00(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Course Navigation
59945,Click on any step to advance to that section in the video. Click the Previous ( < ) or Next ( > ) button to display additional steps. Hover your cursor over a video to display the control panel:Play/PauseTime/LengthAudioView full frameThree dots menu features are available when playing in full frameDownloadPicture in picture,71119,Video,/-1(*)/00(*)/01(*)/02(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Video
59945,Video Controls,71119,Video,/-1(*)/00(*)/01(*)/02(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Video
59945,HIGH MOBILITY DECONTAMINATION SYSTEM,71119,Video,/-1(*)/00(*)/01(*)/02(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Video
59945,Video,71119,Video,/-1(*)/00(*)/01(*)/02(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Video
59945,"DISTRIBUTION STATEMENT F:   Further dissemination only as directed by Joint Project Manager for Chemical, Biological, Radiological, and Nuclear Protection (23 February 2021) or higher DoD authority.",71119,Video,/-1(*)/00(*)/01(*)/02(*),High Mobility Decontamination System (HMDS) | High Mobility Decontamination System | How to use this course | Video
