word,line,page,elo,tlo,type,content
0,0,0,0,0,TLO,High
1,0,0,0,0,TLO,Mobility
2,0,0,0,0,TLO,Decontamination
3,0,0,0,0,TLO,System
0,0,0,1,0,Page,CBRN
1,0,0,1,0,Page,PROTECTION
0,1,0,1,0,Page,High
1,1,0,1,0,Page,Mobility
2,1,0,1,0,Page,Decontamination
3,1,0,1,0,Page,System
4,1,0,1,0,Page,(HMDS)
0,2,0,1,0,Page,The
1,2,0,1,0,Page,following
2,2,0,1,0,Page,course
3,2,0,1,0,Page,has
4,2,0,1,0,Page,been
5,2,0,1,0,Page,optimized
6,2,0,1,0,Page,to
7,2,0,1,0,Page,run
8,2,0,1,0,Page,in
9,2,0,1,0,Page,Microsoft
10,2,0,1,0,Page,Edge
0,3,0,1,0,Page,DISTRIBUTION
1,3,0,1,0,Page,STATEMENT
2,3,0,1,0,Page,F:
3,3,0,1,0,Page,Further
4,3,0,1,0,Page,dissemination
5,3,0,1,0,Page,only
6,3,0,1,0,Page,as
7,3,0,1,0,Page,directed
8,3,0,1,0,Page,by
9,3,0,1,0,Page,Joint
10,3,0,1,0,Page,Project
11,3,0,1,0,Page,Manager
12,3,0,1,0,Page,for
13,3,0,1,0,Page,"Chemical,"
14,3,0,1,0,Page,"Biological,"
15,3,0,1,0,Page,"Radiological,"
16,3,0,1,0,Page,and
17,3,0,1,0,Page,Nuclear
18,3,0,1,0,Page,Protection
19,3,0,1,0,Page,(23
20,3,0,1,0,Page,February
21,3,0,1,0,Page,2021)
22,3,0,1,0,Page,or
23,3,0,1,0,Page,higher
24,3,0,1,0,Page,DoD
25,3,0,1,0,Page,authority.
0,0,0,2,0,ELO,How
1,0,0,2,0,ELO,to
2,0,0,2,0,ELO,use
3,0,0,2,0,ELO,this
4,0,0,2,0,ELO,course
0,0,1,2,0,Page,Course
1,0,1,2,0,Page,Navigation
0,1,1,2,0,Page,HIGH
1,1,1,2,0,Page,MOBILITY
2,1,1,2,0,Page,DECONTAMINATION
3,1,1,2,0,Page,SYSTEM
0,2,1,2,0,Page,Course
1,2,1,2,0,Page,title
2,2,1,2,0,Page,and
3,2,1,2,0,Page,page
4,2,1,2,0,Page,name.
5,2,1,2,0,Page,Current
6,2,1,2,0,Page,page
7,2,1,2,0,Page,location
8,2,1,2,0,Page,in
9,2,1,2,0,Page,course.
10,2,1,2,0,Page,Left
11,2,1,2,0,Page,click
12,2,1,2,0,Page,the
13,2,1,2,0,Page,next
14,2,1,2,0,Page,or
15,2,1,2,0,Page,previous
16,2,1,2,0,Page,arrow
17,2,1,2,0,Page,to
18,2,1,2,0,Page,navigate
19,2,1,2,0,Page,to
20,2,1,2,0,Page,that
21,2,1,2,0,Page,page
22,2,1,2,0,Page,(when
23,2,1,2,0,Page,available).
0,3,1,2,0,Page,Course
1,3,1,2,0,Page,Navigation
0,4,1,2,0,Page,DISTRIBUTION
1,4,1,2,0,Page,STATEMENT
2,4,1,2,0,Page,F:
3,4,1,2,0,Page,Further
4,4,1,2,0,Page,dissemination
5,4,1,2,0,Page,only
6,4,1,2,0,Page,as
7,4,1,2,0,Page,directed
8,4,1,2,0,Page,by
9,4,1,2,0,Page,Joint
