PageID,TextDisplayValue
52006,Course title and page name Current page location in course Left click the next or previous arrow to navigate to that page (when available).
52006,1 of 5
52006,Course Navigation
56871,"Click to view current instruction as written steps, this action will pause the video. Hover your cursor over a video to display the controls panel:Play/PauseTime/LengthAudioView full frameThree dots menu features are available when playing in full frameDownloadPicture in picture"
56871,2 of 5
56871,Video Controls
56872,"Left click the three bar icon at anytime to open the Side Menu.Course Map quickly jump to any page, key word search is available.References provides access to additional documents related to this course.Help provides a descriptive PDF version of these and other course features.Print, prints the current page, if available.Exit Course, exits the course."
56872,3 of 5
56872,Side Menu
56873,Left click any numbered highlight to see description. Right click and drag to view the object from different angles A page may become locked from advancing until the user has completed all of this page's instruction.
56873,4 of 5
56873,3D Viewer
56874,Left click to interact with the Simulation based on the provided instruction or when  available click the Next button.
56874,5 of 5
56874,Simulation
52458,"Warnings are provided where injury may occur to personnel on or near the system. A warning is used to alert the user to hazardous operating and maintenance procedures, practices, conditions, statements, etc., that may result in injury to or death of personnel if not strictly observed. Warnings are preceded by the word WARNING. General Warnings for the RIB can be found on pages ?a? through ?e? of TM 5-1940-328-10."
52458,"A Caution is used to alert the user to hazardous operating or maintenance procedures, practices, conditions, statements, etc., that may result in damage to or destruction of equipment or degrade mission effectiveness if not strictly observed. Cautions are provided where equipment may be damaged but no personnel injury should result. Cautions are preceded by the word CAUTION."
52458,"Notes provide helpful information to operate or maintain the equipment, but there is no danger of equipmentdamage or personnel injury. Notes are preceded by the word NOTE."
52458,Click on each icon to learn how and when it is used.
52468,"Each question provides feedback regardless of a correct or incorrect answer. In addition, incorrect answers provide direct access to the appropriate instruction for review.     After reviewing the material to return to the Checks on Learning question, simply click on the Return to Checks on Learning Button provided in the top right corner of the page."
52469,Terms:
52469,Definitions:
52469,WARNING
52469,May result in injury or death to personnel
52469,May result in damage to or destruction of equipment
52469,CAUTION
52469,NOTE
52469,"Is used to highlight essential procedures, conditions, statements, or convey important instructional data to the user."
52469,Question: 1 of 6
52469,Button1 = {{9767}}Button2 = {{9768}}Button3 = {{9769}}Button4 = {{9770}}Button5 = {{9771}}Button6 = {{9772}}Term = {{9773}}Definition={{9774}}
52469,CORRECT
52469,INCORRECT
52469,"WARNING - May result in injury or death to personnel CAUTION - May result in damage to or destruction of equipment NOTE - Is used to highlight essential procedures, conditions, statements, or convey important instructional data to the user."
52471,PPE:
52471,Protects you from:
52471,Gloves
52471,Wind and Water Spray
52471,Drowning
52471,Goggles
52471,Personal Flotation Devices (PFDs)
52471,Sharp Objects and Pinch Points
52471,Question: 2 of 6
52471,CORRECT
52471,INCORRECT
52471,"PPE is a collection of equipment such as proper head gear, goggles, vests, gloves, and boots. Everyone must wear the proper PPE for training and missions. Personal Flotation Devices (PFDs) may be required during training and or missions."
52472,Gloves
52472,Goggles
52472,Vest
52472,Question: 3 of 6
52472,Helmet
52472,CORRECT
52472,"Use appropriate PPE, such as gloves, to avoid pinch points between the boat and trailer, especially when handling the winch hook."
52472,INCORRECT
52470,Prevents shorting
52470,Prevents arcing and explosions
52470,Prevents corrosion
52470,Question: 4 of 6
52470,Prevents sparks
52470,CORRECT
52470,"Keeping all electrical connections clean, tight, and insulated prevents arcing and explosions, and shorting."
52470,INCORRECT
52473,Flammable
52473,Question: 5 of 6
52473,CORRECT
52473,"Fuel is highly flammable. Keep fuel away from all heat or ignition sources.  Lubricating Oils may be flammable. Keep them away from heat, open flame, or other ignition sources."
52473,INCORRECT
52473,Environmental damage
52473,Poisonous
52473,Caustic
52474,Question: 6 of 6
52474,CORRECT
52474,"The Emergency Stop Lanyard is a coiled, red loop attached to the ignition key. Clips to emergency stop switch and operator. If clip is dislodged from stop switch, engines stop."
52474,INCORRECT
52474,Emergency tie-down
52474,Searchlight operator
52474,Radio operator
52474,Boat operator
52480,Hull and Inflatable Tube
52480,Electrical System
52480,Controls
52480,Capacities
52480,Engine
52480,Trailer
52480,Weights
52480,Fuel Tank Gauge
