PageID,TextDisplayValue,UnitID,UnitName,Path,UnitPath
52006,Course title and page name Current page location in course Left click the next or previous arrow to navigate to that page (when available).,59393,Course Navigation,/-1(*)/00(*)/01(*)/00(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Course Navigation
52006,1 of 5,59393,Course Navigation,/-1(*)/00(*)/01(*)/00(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Course Navigation
52006,Course Navigation,59393,Course Navigation,/-1(*)/00(*)/01(*)/00(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Course Navigation
56871,"Click to view current instruction as written steps, this action will pause the video. Hover your cursor over a video to display the controls panel:Play/PauseTime/LengthAudioView full frameThree dots menu features are available when playing in full frameDownloadPicture in picture",66675,Video,/-1(*)/00(*)/01(*)/01(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Video
56871,2 of 5,66675,Video,/-1(*)/00(*)/01(*)/01(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Video
56871,Video Controls,66675,Video,/-1(*)/00(*)/01(*)/01(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Video
56872,"Left click the three bar icon at anytime to open the Side Menu.Course Map quickly jump to any page, key word search is available.References provides access to additional documents related to this course.Help provides a descriptive PDF version of these and other course features.Print, prints the current page, if available.Exit Course, exits the course.",66676,Side Menu,/-1(*)/00(*)/01(*)/02(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Side Menu
56872,3 of 5,66676,Side Menu,/-1(*)/00(*)/01(*)/02(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Side Menu
56872,Side Menu,66676,Side Menu,/-1(*)/00(*)/01(*)/02(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | Side Menu
56873,Left click any numbered highlight to see description. Right click and drag to view the object from different angles A page may become locked from advancing until the user has completed all of this page's instruction.,66677,3D Viewer,/-1(*)/00(*)/01(*)/03(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | 3D Viewer
56873,4 of 5,66677,3D Viewer,/-1(*)/00(*)/01(*)/03(*),Phase 2: RIGID INFLATABLE BOAT (RIB) | Introduction | Tutorial | 3D Viewer
