page,elo,tlo,pid,type,name
0,0,1,,TLO,Introduction
0,1,1,52005,Page,Rigid Inflatable Boat
0,2,1,,ELO,Tutorial
1,2,1,52006,Page,Course Navigation
2,2,1,56871,Page,Video
3,2,1,56872,Page,Side Menu
4,2,1,56873,Page,3D Viewer
5,2,1,56874,Page,Simulation
0,3,1,,ELO,Theory of Operations
1,3,1,52007,Page,Theory of Operations
0,0,2,,TLO,Safety
0,1,2,52457,Page,Safety
0,2,2,,ELO,Safety Learning Objectives
1,2,2,52459,Page,Safety Learning Objectives
0,3,2,,ELO,"Warnings, Cautions, & Notes"
1,3,2,52458,Page,"Warnings, Cautions, & Notes"
0,4,2,,ELO,Warning Summary
1,4,2,54143,Page,Warning Summary
0,5,2,,ELO,General Safety Warning Descriptions
1,5,2,54145,Page,General Safety Warning Descriptions
2,5,2,54146,Page,General Safety Warning Descriptions - Continued
3,5,2,54147,Page,General Safety Warning Descriptions - Continued
4,5,2,54148,Page,General Safety Warning Descriptions - Continued
0,6,2,,ELO,Hazardous Material Icons 
1,6,2,52460,Page,Hazardous Material Icons 
2,6,2,54149,Page,Hazardous Materials Warning Descriptions
3,6,2,54151,Page,Hazardous Materials Warning Descriptions - Continued
4,6,2,54152,Page,Hazardous Materials Warning Descriptions - Continued
5,6,2,54153,Page,Hazardous Materials Warning Descriptions - Continued
0,7,2,,ELO,Personal Protection Equipment
1,7,2,52461,Page,Personal Protection Equipment (PPE)
0,8,2,,ELO,Checks On Learning
1,8,2,52468,Page,Checks On Learning
2,8,2,52469,Page,Question 1 of 6
3,8,2,52471,Page,Question 2 of 6
4,8,2,52472,Page,Question 3 of 6
5,8,2,52470,Page,Question 4 of 6
6,8,2,52473,Page,Question 5 of 6
7,8,2,52474,Page,Question 6 of 6
0,0,3,,TLO,Characteristics
0,1,3,52475,Page,Characteristics
0,2,3,,ELO,Characteristics Objectives
1,2,3,52476,Page,Characteristics Objectives
0,3,3,,ELO,RIB Components
1,3,3,52477,Page,RIB Components
2,3,3,54882,Page,Hull Components
0,4,3,,ELO,Engine Components
1,4,3,53321,Page,Engine Components
0,0,4,,TLO,Specifications
0,1,4,52478,Page,Specifications
0,2,4,,ELO,Specifications Objectives
1,2,4,52479,Page,Specifications Objectives
0,3,4,,ELO,Specifications
1,3,4,52480,Page,Specifications
0,4,4,,ELO,Checks On Learning
1,4,4,52481,Page,Question 1 of 2
2,4,4,52482,Page,Question 2 of 2
0,0,5,,TLO,Controls and Indicators
0,1,5,52483,Page,Controls and Indicators
0,2,5,,ELO,Controls and Indicators Objectives
1,2,5,52484,Page,Controls and Indicators Objectives
0,3,5,,ELO,Cabin Controls
1,3,5,52491,Page,Cabin Controls
0,4,5,,ELO,Control Panel
1,4,5,52485,Page,Control Panel
0,5,5,,ELO,Light Control
1,5,5,52489,Page,Light Control
0,6,5,,ELO,Switch Panel
1,6,5,52490,Page,Switch Panel
0,7,5,,ELO,Throttle Controls
1,7,5,52492,Page,Throttle Controls
0,8,5,,ELO,Command Microphone
1,8,5,52493,Page,Command Microphone
2,8,5,52653,Page,Command Microphone Display
0,9,5,,ELO,VHF Microphone Controls
1,9,5,52494,Page,VHF Microphone Controls
0,10,5,,ELO,Checks On Learning
1,10,5,52496,Page,Question 1 of 2
2,10,5,52497,Page,Question 2 of 2
0,0,6,,TLO,Command Controls
0,1,6,52486,Page,Command Controls
0,2,6,,ELO,Command Controls Objectives
1,2,6,52487,Page,Command Controls Objectives
0,3,6,,ELO,"Spotlight Warnings, Cautions, & Notes"
1,3,6,52498,Page,"Spotlight Warnings, Cautions, & Notes"
0,4,6,,ELO,Spotlight Receptacles
1,4,6,52499,Page,Spotlight Receptacles
0,5,6,,ELO,Spotlight Operation Procedure
1,5,6,52488,Page,Spotlight Operation Procedure
0,6,6,,ELO,"Loudspeaker and Siren Warnings, Cautions, & Notes"
1,6,6,52500,Page,"Loudspeaker and Siren Warnings, Cautions, & Notes"
0,7,6,,ELO,Microphone and Control Panel Operation Procedure
1,7,6,52501,Page,Microphone and Control Panel Operation Procedure
0,8,6,,ELO,Command Microphone Remote VHF Operation Procedure
1,8,6,52506,Page,Command Microphone Remote VHF Operation Procedure
0,9,6,,ELO,Command Microphone Remote Transmission/Reception Procedure
