prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	image_url	context_mask	chunk_summary	group_summary	section_summary
	TM 5-1940-328-10	-1	0	0	0	0		0		1	TM 5-1940-328-10		COPYRIGHT RELEASE - the contractor has obtained and provided to the Government copyright releases in writing from all pertinent copy rights holders. Failure of these precautions could result serious injury or death if not followed by personnel. Electrical shock can cause injuries or deaths when working near, replacing, servicing any electrical component – even if it is unprotected —. Heavy lifting may result into lower back injury or crushed extremities. Warning summary includes general safety warning, hazards and other warning symbols used within the technical manual
	OPERATOR MANUAL	-1	0	0	0	0	START	0		0	OPERATOR MANUAL		
	FOR	-1	0	0	0	0		0		1	FOR		
	RIGID INFLATABLE BOAT (RIB) P/N NSW8MTR-OPEN-001 NSN 1940-01–646–7565	-1	1	0	0	0		0		1	RIGID INFLATABLE BOAT (RIB) P/N NSW8MTR-OPEN-001 NSN 1940-01–646–7565		
	DISTRIBUTION STATEMENT C - Distribution authorized to U.S. Government Agencies and their contractors only for Administrative- Operational Use as determined on 16 July 2014 . Other requests for this document shall be referred to US Army Tank-automotive and Armaments Command , ATTN: Product Manager, Sets, Kits, Outfits & Tools (PM-SKOT), MS 901, Selfridge ANGB, SFAE-CSSFP-SK, MS 640, 6501 E. 11 Mile Road, Warren, MI 48397-5000 .	-1	2	0	0	0		0		0	DISTRIBUTION STATEMENT C - Distribution authorized to U.S Government Agencies and their contractors only for Administrative- Operational Use as determined on 16 July 2014 (see below) other requests shall be sent to US Army	DISTRIBUTION STATEMENT C - Distribution authorized to U.S Government Agencies and their contractors only for Administrative- Operational Use as determined on 16 July 2014 (see below) other requests shall be sent to US Army	
	DESTRUCTION NOTICE – Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	-1	3	0	0	0		0		0	DESTRUCTION NOTICE – Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	DESTRUCTION NOTICE – Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	
	COPYRIGHT RELEASE - The contractor has obtained and provided to the Government copyright releases in writing from all pertinent copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual to Government agencies and their contractors.	-1	4	0	0	0		0		0	COPYRIGHT RELEASE - The contractor has obtained and provided to the Government copyright releases in writing from all pertinent copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual to Government agencies and their contractors.	COPYRIGHT RELEASE - The contractor has obtained and provided to the Government copyright releases in writing from all pertinent copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual to Government agencies and their contractors.	
01	HEADQUARTERS, DEPARTMENT OF THE ARMY JUNE 2019	-1	4	0	0	0		0		1	HEADQUARTERS, DEPARTMENT OF THE ARMY JUNE 2019		
	WARNING SUMMARY	-1	5	0	0	0		0		1	WARNING SUMMARY		
	This warning summary contains general safety warnings and hazardous materials warnings that must be understood and applied during operation and maintenance of this equipment. Failure to observe these precautions could result in serious injury or death to personnel. Also included are explanations of safety and hazardous materials icons used within the technical manual (TM).	-1	6	0	0	0		0		0	Failure to observe these precautions could result in serious injury or death. Also included are explanation of safety and hazardous materials icons used within the technical manual (TM). Warning summary includes general safety warning, hazards and other warnings relating at equipment	Failure to observe these precautions could result in serious injury or death. Also included are explanation of safety and hazardous materials icons used within the technical manual (TM). Warning summary includes general safety warning, hazards and other warnings relating at equipment	
