prefix	c0	content	size	face	marker	line	page	x0	y0	x1	y1	caption	mask	spacing	chunk	group	type	section	subsection	subsubsection	title	section_tag	image_url
	TM 5-1940-328-10	TM 5-1940-328-10	24.0	1	-1	0	1	30.818960345498873	9.038821133700285	63.29406159205218	12.424237800366951	0	0	-99.0	0	0	0	0	0	0		0	
	OPERATOR MANUAL	OPERATOR MANUAL	14.0	1	-1	1	1	35.30262087514042	17.640046399049087	58.811732466554325	19.614872787937976	0	0	5.2	1	0	0	0	0	0	START	0	
	FOR	FOR	14.0	1	-1	2	1	44.642814879174324	20.821866122159093	49.472281455844055	22.796692511047983	0	0	1.2	2	0	0	0	0	0		0	
	RIGID INFLATABLE BOAT	RIGID INFLATABLE BOAT (RIB)	18.0	1	-1	3	1	25.98611788641238	24.010613952020204	71.24247950495302	26.549676452020204	0	0	1.2	3	1	1	0	0	0		0	
	P/N NSW8MTR-OPEN-001	P/N NSW8MTR-OPEN-001	18.0	1	-1	4	1	30.310952373429842	26.73788359670928	66.09963430127911	29.27694609670928	0	0	0.2	3	1	1	0	0	0		0	
	NSN 1940-01–646–7565	NSN 1940-01–646–7565	18.0	1	-1	5	1	31.934482543147467	29.46515324139836	65.29411983475032	32.00421574139836	0	0	0.2	3	1	1	0	0	0		0	
	<img0000>	<img0000>	-1.0	-1	-1	6	1	5.881705882352941	36.28157028044113	88.23464705882354	65.31187115293561	0	1	4.3	4	2	0	0	0	0		0	
	DISTRIBUTION STATEMENT C	DISTRIBUTION STATEMENT C - Distribution authorized to U.S. Government Agencies and their contractors only for Administrative-	8.0	1	-1	7	1	5.881705882352941	75.4964423902107	82.58938378587112	76.62491461243293	0	0	10.2	5	3	1	0	0	0		0	
	Operational Use as determined on 16 July 2014 . Other requests for this document shall be referred to	Operational Use as determined on 16 July 2014 . Other requests for this document shall be referred to US Army Tank-automotive and	8.0	0	-1	8	1	5.881705882352941	76.70856051974827	83.55239289088031	77.83703274197049	0	0	0.1	5	3	1	0	0	0		0	
	Armaments Command	Armaments Command , ATTN: Product Manager, Sets, Kits, Outfits & Tools (PM-SKOT), MS 901, Selfridge ANGB, SFAE-CSSFP-SK, MS	8.0	0	-1	9	1	5.881705882352941	77.92068635574495	85.93296344592525	79.04915857796718	0	0	0.1	5	3	1	0	0	0		0	
	640, 6501 E.	640, 6501 E. 11 Mile Road, Warren, MI 48397-5000 .	8.0	0	-1	10	1	5.881710868885314	79.13280448528252	36.61612336760876	80.26127670750473	0	0	0.1	5	3	1	0	0	0		0	
	DESTRUCTION NOTICE	DESTRUCTION NOTICE – Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	8.0	1	-1	11	1	5.881710868885314	81.55704845081677	78.74684172347325	82.685520673039	0	0	1.3	6	4	0	0	0	0		0	
	COPYRIGHT RELEASE	COPYRIGHT RELEASE - The contractor has obtained and provided to the Government copyright releases in writing from all pertinent	8.0	1	-1	12	1	5.881710868885314	83.88457635436396	83.68735837609785	85.01304857658619	0	0	1.2	7	5	1	0	0	0		0	
	copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual	copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual	8.0	0	-1	13	1	5.881710868885314	85.09669448390152	87.98212905943628	86.22516670612374	0	0	0.1	7	5	1	0	0	0		0	
	to Government agencies and their contractors.	to Government agencies and their contractors.	8.0	0	-1	14	1	5.881710868885314	86.30881261343909	32.763837620953325	87.4372848356613	0	0	0.1	7	5	1	0	0	0		0	
	HEADQUARTERS, DEPARTMENT OF THE ARMY	HEADQUARTERS, DEPARTMENT OF THE ARMY	14.0	1	-1	15	1	20.940692072450723	91.18171460700758	74.44455633584815	93.15654099589646	0	0	3.7	8	5	1	0	0	0		0	
01	JUNE	JUNE 2019	14.0	1	2	16	1	39.87190016563266	93.30292518692788	54.87649575386795	95.27775157581677	0	0	0.1	8	5	1	0	0	0		0	
	WARNING SUMMARY	WARNING SUMMARY	14.0	1	-1	17	3	35.240528574027266	8.72590806749132	58.8758044210197	10.700734456380209	0	0	-86.6	9	6	0	0	0	0		0	
	This warning summary contains general safety warnings and hazardous materials warnings that must be	This warning summary contains general safety warnings and hazardous materials warnings that must be	10.0	0	-1	18	3	5.882359118093852	15.035139912306661	81.34664018778085	16.44573019008444	0	0	4.3	10	7	1	0	0	0		0	
	understood and applied during operation and maintenance of this equipment.	understood and applied during operation and maintenance of this equipment. Failure to observe these	10.0	0	-1	19	3	5.882359118093852	16.487160114326862	79.54271223639196	17.89775039210464	0	0	0.0	10	7	1	0	0	0		0	
	precautions could result in serious injury or death to personnel.	precautions could result in serious injury or death to personnel. Also included are explanations of safety and	10.0	0	-1	20	3	5.882359118093852	17.939180316347066	83.71593120659723	19.349770594124845	0	0	0.0	10	7	1	0	0	0		0	
	hazardous materials icons used within the technical manual (TM).	hazardous materials icons used within the technical manual (TM).	10.0	0	-1	21	3	5.882359118093852	19.391200518367267	53.284026694304025	20.801790796145045	0	0	0.0	10	7	1	0	0	0		0	
	FIRST AID	FIRST AID	10.0	1	-1	22	3	5.882359118093852	22.358372235538987	13.871195369147008	23.76896251331676	0	0	1.6	11	8	0	0	0	0		0	
	For first aid, refer to TC 4-02.1, First Aid.	For first aid, refer to TC 4-02.1, First Aid. For hazardous materials, refer to the label or Material Safety Data Sheet	10.0	0	-1	23	3	5.882359118093852	25.325543952710703	87.8853304930045	26.73613423048848	0	0	1.6	12	9	1	0	0	0		0	
	(MSDS).	(MSDS).	10.0	0	-1	24	3	5.882359118093852	26.777564154730904	12.145157053430095	28.188154432508682	0	0	0.0	12	9	1	0	0	0		0	
	GENERAL SAFETY WARNING DESCRIPTIONS	GENERAL SAFETY WARNING DESCRIPTIONS	10.0	1	-1	25	3	5.882359118093852	29.744735871902623	41.92319502846711	31.1553261496804	0	0	1.6	13	10	0	0	0	0		0	
	WARNING	WARNING	12.0	1	-1	26	3	42.26634824027267	32.55602904040404	51.85033381204044	34.24873737373738	0	0	1.4	14	10	0	0	0	0		0	
•	Electrical shock can cause injury or death to personnel when working near,	Electrical shock can cause injury or death to personnel when working near,	10.0	1	1	27	3	15.301642018835528	35.67907930624606	74.12487473192402	37.08966958402384	0	0	1.4	15	11	2	0	0	0		0	
	replacing, or servicing any electrical component.	replacing, or servicing any electrical component.	10.0	0	-1	28	3	19.999354437136184	37.13109950826626	54.869983342588334	38.54168978604404	0	0	0.0	15	11	2	0	0	0		0	
•	Take great care when working around energized electrical equipment.	Take great care when working around energized electrical equipment. Contact	10.0	1	1	29	3	15.301642018835528	39.21443284159959	76.57748572016698	40.62502311937737	0	0	0.7	16	11	2	0	0	0		0	
	between unprotected body parts and electrical conductors can cause serious injury	between unprotected body parts and electrical conductors can cause serious injury	10.0	0	-1	30	3	19.999354437136184	40.666453043619796	79.8490050008936	42.077043321397575	0	0	0.0	16	11	2	0	0	0		0	
	or death.	or death.	10.0	0	-1	31	3	19.999354437136184	42.11847324564	26.448424289279515	43.529063523417776	0	0	0.0	16	11	2	0	0	0		0	
•	Keep all electrical connections clean, tight, and insulated to prevent shorting or	Keep all electrical connections clean, tight, and insulated to prevent shorting or	10.0	1	1	32	3	15.301642018835528	44.20180657897333	76.85392411534927	45.612396856751104	0	0	0.7	17	11	2	0	0	0		0	
	arcing and causing an explosion.	arcing and causing an explosion.	10.0	0	-1	33	3	19.999354437136184	45.65382678099353	43.79482512988919	47.06441705877131	0	0	0.0	17	11	2	0	0	0		0	
•	Failure to comply may result in injury or death to personnel.	Failure to comply may result in injury or death to personnel.	10.0	1	1	34	3	15.301642018835528	47.73716011432686	62.86180901979933	49.14775039210464	0	0	0.7	18	11	2	0	0	0		0	
	WARNING	WARNING	12.0	1	-1	35	3	42.266019129136026	50.548453282828284	51.850004700903796	52.24116161616162	0	0	1.4	19	12	0	0	0	0		0	
	Ensure proper safety measures are taken during extremely hot and humid weather.	Ensure proper safety measures are taken during extremely hot and humid weather. Seek	10.0	0	-1	36	3	14.11667238482307	52.913927791094544	78.41566616242852	54.32451806887232	0	0	0.7	20	13	1	0	0	0		0	
	medical attention immediately if any of the following occur: weakness, dizziness, trouble	medical attention immediately if any of the following occur: weakness, dizziness, trouble	10.0	0	-1	37	3	14.11667238482307	54.365947993114744	77.50415796377145	55.77653827089252	0	0	0.0	20	13	1	0	0	0		0	
	breathing, painful muscle cramps, rapid pulse, pale skin, or weak pulse.	breathing, painful muscle cramps, rapid pulse, pale skin, or weak pulse. Reference TB-	10.0	0	-1	38	3	14.11667238482307	55.817968195134945	76.86829530164931	57.228558472912724	0	0	0.0	20	13	1	0	0	0		0	
	MED 507 for proper work, rest, and water consumption cycle during extreme heat.	MED 507 for proper work, rest, and water consumption cycle during extreme heat. Failure	10.0	0	-1	39	3	14.11667238482307	57.269988397155146	78.86526189427595	58.680578674932924	0	0	0.0	20	13	1	0	0	0		0	
	to follow this warning may cause injury or death.	to follow this warning may cause injury or death.	10.0	0	-1	40	3	14.11667238482307	58.72200859917535	48.897429017310046	60.13259887695313	0	0	0.0	20	13	1	0	0	0		0	
	WARNING	WARNING	12.0	1	-1	41	3	42.26634824027267	61.53330176767677	51.85033381204044	63.226010101010104	0	0	1.4	21	14	0	0	0	0		0	
	To avoid personal injury, get assistance when lifting components that weigh more than 40	To avoid personal injury, get assistance when lifting components that weigh more than 40	10.0	0	-1	42	3	14.11700149595971	63.89877627594303	78.78063046683518	65.3093665537208	0	0	0.7	22	15	1	0	0	0		0	
	lbs.	lbs. One assistant is required for items up to 75 lbs, two assistants for items up to 100 lbs,	10.0	0	-1	43	3	14.11700149595971	65.35079647796323	78.9598364672692	66.76138675574101	0	0	0.0	22	15	1	0	0	0		0	
	and three assistants for items up to 130 lbs.	and three assistants for items up to 130 lbs. Ensure lifting is done with the knees and not	10.0	0	-1	44	3	14.11700149595971	66.80281667998344	78.14774975107231	68.21340695776121	0	0	0.0	22	15	1	0	0	0		0	
	lower back.	lower back. Incorrect heavy lifting could result in lower back injury or crushed extremities.	10.0	0	-1	45	3	14.11700149595971	68.25483688200363	78.40754808772468	69.66542715978142	0	0	0.0	22	15	1	0	0	0		0	
	Failure to comply may result in injury to personnel.	Failure to comply may result in injury to personnel.	10.0	0	-1	46	3	14.11700149595971	69.70685708402384	50.53011446046517	71.11744736180161	0	0	0.0	22	15	1	0	0	0		0	
	WARNING	WARNING	12.0	1	-1	47	3	42.26569500453176	72.51815025252526	51.84968057629953	74.21085858585859	0	0	1.4	23	16	0	0	0	0		0	
	Ensure all personnel in the vicinity and operating the outboard engine wear personal	Ensure all personnel in the vicinity and operating the outboard engine wear personal	10.0	0	-1	48	3	14.116348260218802	74.88362476079152	74.96790288149765	76.29421503856929	0	0	0.7	24	17	1	0	0	0		0	
	protective equipment such as hearing protection when engine is being operated to prevent	protective equipment such as hearing protection when engine is being operated to prevent	10.0	0	-1	49	3	14.116348260218802	76.33564496281171	79.32847085950266	77.7462352405895	0	0	0.0	24	17	1	0	0	0		0	
	against potential noise hazards.	against potential noise hazards. Failure to comply may cause damage or loss of hearing.	10.0	0	-1	50	3	14.116348260218802	77.78766516483192	78.14218478094364	79.19825544260969	0	0	0.0	24	17	1	0	0	0		0	
	WARNING	WARNING	12.0	1	-1	51	3	42.266019129136026	80.59895833333334	51.850004700903796	82.29166666666667	0	0	1.4	25	18	0	0	0	0		0	
	Ensure all personnel in the vicinity and operating the horn or siren wear personal protective	Ensure all personnel in the vicinity and operating the horn or siren wear personal protective	10.0	0	-1	52	3	14.11667238482307	82.96443284159959	79.86852228860295	84.37502311937737	0	0	0.7	26	19	1	0	0	0		0	
	equipment such as hearing protection while operating to prevent against potential noise	equipment such as hearing protection while operating to prevent against potential noise	10.0	0	-1	53	3	14.11667238482307	84.4164530436198	77.23944789273132	85.82704332139758	0	0	0.0	26	19	1	0	0	0		0	
	hazards.	hazards. Failure to comply may result in injury to personnel	10.0	0	-1	54	3	14.11667238482307	85.86847324564	56.79666974794475	87.27906352341778	0	0	0.0	26	19	1	0	0	0		0	
