span	size	face	marker	line	page
TM 5-1940-328-10	24.0	1	-1	0	1
OPERATOR MANUAL	14.0	1	-1	1	1
FOR	14.0	1	-1	2	1
RIGID INFLATABLE BOAT	18.0	1	-1	3	1
(RIB)	18.0	1	-1	3	1
P/N NSW8MTR-OPEN-001	18.0	1	-1	4	1
NSN 1940-01–646–7565	18.0	1	-1	5	1
<img0000>	-1.0	-1	-1	6	1
DISTRIBUTION STATEMENT C	8.0	1	-1	7	1
- Distribution authorized to U.S.	8.0	0	-1	7	1
Government Agencies and their contractors only for Administrative-	8.0	0	-1	7	1
Operational Use as determined on 16 July 2014 . Other requests for this document shall be referred to	8.0	0	-1	8	1
US Army Tank-automotive and	8.0	0	-1	8	1
Armaments Command	8.0	0	-1	9	1
, ATTN: Product Manager, Sets, Kits, Outfits & Tools (PM-SKOT), MS 901, Selfridge ANGB, SFAE-CSSFP-SK, MS	8.0	0	-1	9	1
640, 6501 E.	8.0	0	-1	10	1
11 Mile Road, Warren, MI 48397-5000 .	8.0	0	-1	10	1
DESTRUCTION NOTICE	8.0	1	-1	11	1
– Destroy by any method that will prevent disclosure of contents or reconstruction of the document.	8.0	0	-1	11	1
COPYRIGHT RELEASE	8.0	1	-1	12	1
-	8.0	0	-1	12	1
The contractor has obtained and provided to the Government copyright releases in writing from all pertinent	8.0	0	-1	12	1
copyright holders, which are listed at the end of General Information, such that the Government may copy and distribute this technical manual	8.0	0	-1	13	1
to Government agencies and their contractors.	8.0	0	-1	14	1
HEADQUARTERS, DEPARTMENT OF THE ARMY	14.0	1	-1	15	1
01	14.0	1	2	16	1
JUNE	14.0	1	-1	16	1
2019	14.0	1	-1	16	1
WARNING SUMMARY	14.0	1	-1	17	3
This warning summary contains general safety warnings and hazardous materials warnings that must be	10.0	0	-1	18	3
understood and applied during operation and maintenance of this equipment.	10.0	0	-1	19	3
Failure to observe these	10.0	0	-1	19	3
precautions could result in serious injury or death to personnel.	10.0	0	-1	20	3
Also included are explanations of safety and	10.0	0	-1	20	3
hazardous materials icons used within the technical manual (TM).	10.0	0	-1	21	3
FIRST AID	10.0	1	-1	22	3
For first aid, refer to TC 4-02.1, First Aid.	10.0	0	-1	23	3
For hazardous materials, refer to the label or Material Safety Data Sheet	10.0	0	-1	23	3
(MSDS).	10.0	0	-1	24	3
GENERAL SAFETY WARNING DESCRIPTIONS	10.0	1	-1	25	3
WARNING	12.0	1	-1	26	3
•	10.0	1	1	27	3
Electrical shock can cause injury or death to personnel when working near,	10.0	0	-1	27	3
replacing, or servicing any electrical component.	10.0	0	-1	28	3
•	10.0	1	1	29	3
Take great care when working around energized electrical equipment.	10.0	0	-1	29	3
Contact	10.0	0	-1	29	3
between unprotected body parts and electrical conductors can cause serious injury	10.0	0	-1	30	3
or death.	10.0	0	-1	31	3
•	10.0	1	1	32	3
Keep all electrical connections clean, tight, and insulated to prevent shorting or	10.0	0	-1	32	3
arcing and causing an explosion.	10.0	0	-1	33	3
•	10.0	1	1	34	3
Failure to comply may result in injury or death to personnel.	10.0	0	-1	34	3
WARNING	12.0	1	-1	35	3
Ensure proper safety measures are taken during extremely hot and humid weather.	10.0	0	-1	36	3
