subsubsection,subsection,section,content
0,0,0,TM 5-1940-328-10
0,0,0,FOR
0,0,0,RIGID INFLATABLE BOAT (RIB) P/N NSW8MTR-OPEN-001 NSN 1940-01–646–7565
0,0,0,"HEADQUARTERS, DEPARTMENT OF THE ARMY JUNE 2019"
0,0,0,WARNING SUMMARY
0,0,0,FIRST AID
0,0,0,GENERAL SAFETY WARNING DESCRIPTIONS
0,0,0,WARNING
0,0,0,WARNING
0,0,0,WARNING
0,0,0,WARNING
0,0,0,WARNING
0,0,0,TM 5-1940-328-10 a
0,0,0,WARNING SUMMARY - Continued
0,0,0,GENERAL SAFETY WARNING DESCRIPTIONS - Continued
0,0,0,WARNING
0,0,0,WARNING
0,0,0,WARNING
0,0,0,WARNING
0,0,0,EXPLANATION OF HAZARDOUS MATERIAL ICONS
0,0,0,TM 5-1940-328-10 b
0,0,0,WARNING SUMMARY - Continued
0,0,0,EXPLANATION OF HAZARDOUS MATERIAL ICONS - Continued
0,0,0,HAZARDOUS MATERIALS WARNING DESCRIPTIONS
0,0,0,WARNING
0,0,0,TM 5-1940-328-10 c
0,0,0,WARNING SUMMARY - Continued
0,0,0,HAZARDOUS MATERIALS WARNING DESCRIPTIONS - Continued
0,0,0,WARNING
0,0,0,TM 5-1940-328-10 e/blank
0,0,0,Original 01 June 2019
0,0,0,"TOTAL NUMBER OF PAGES FOR FRONT AND REAR MATTER IS 32 AND TOTAL NUMBER OF WORK PACKAGES IS 63, CONSISTING OF THE FOLLOWING:"
0,0,0,Page/WP No. Change No.
0,0,0,Page/WP No. Change No.
0,0,0,TM 5-1940-328-10
0,0,0,LIST OF EFFECTIVE PAGES/WORK PACKAGES
0,0,0,A/blank
0,0,0,"HEADQUARTERS, DEPARTMENT OF THE ARMY WASHINGTON, DC, 01 JUNE 2019"
0,0,0,OPERATOR MANUAL
0,0,0,FOR
0,0,0,RIGID INFLATABLE BOAT (RIB) P/N NSW8MTR-OPEN-001 NSN 1940-01–646–7565
0,0,0,TM 5-1940-328-10 i
0,0,1,GENERAL
0,0,1,ILLUSTRATIONS
0,0,1,USING THIS MANUAL
0,0,1,ACCESSING INFORMATION
0,0,1,LISTS
0,0,1,WORK PACKAGES
0,0,1,"WARNINGS, CAUTIONS, AND NOTES"
0,0,1,LOCATING MAJOR COMPONENTS
0,0,1,INITIAL SETUP
0,0,1,Diver 12D
0,0,1,HOW TO USE THIS MANUAL - Continued
0,0,1,TROUBLESHOOTING PROCEDURES
0,0,1,PREVENTIVE MAINTENANCE CHECKS AND SERVICES (PMCS)
0,0,1,MAINTENANCE PROCEDURES
0,0,1,REFERENCES
0,0,1,BASIC ISSUE ITEMS (BII)
0,0,1,EXPENDABLE AND DURABLE ITEMS LIST
0,1,2,FOR
0,1,2,RIGID INFLATABLE BOAT (RIB)
0,1,2,TM 5-1940-328-10
0,1,2,OPERATOR GENERAL INFORMATION
0,1,2,SCOPE
0,1,2,Figure 1. Rigid Inflatable Boat.
0,1,2,Operator Manual.
0,1,2,"ARMY RIGID INFLATABLE BOAT (RIB), PART NUMBER (P/N) NSW8MTR-OPEN-001, COMMERCIAL AND GOVERNMENT ENTITY CODE (CAGEC) 0ZFD4, NATIONAL STOCK NUMBER (NSN) 1940-01-646-7565."
0,1,2,"MAINTENANCE FORMS, RECORDS, AND REPORTS"
0,1,2,REPORTING EQUIPMENT IMPROVEMENT RECOMMENDATIONS (EIR)
0,1,2,CORROSION PREVENTION AND CONTROL (CPC)
0,1,2,CORROSION PREVENTION AND CONTROL (CPC) - Continued
0,1,2,DESTRUCTION OF ARMY MATERIAL TO PREVENT ENEMY USE
