word,group,subsubsection,subsection,section,content
0,0,0,0,0,TM
1,0,0,0,0,5-1940-328-10
0,1,0,0,0,FOR
0,2,0,0,0,RIGID
1,2,0,0,0,INFLATABLE
2,2,0,0,0,BOAT
3,2,0,0,0,(RIB)
4,2,0,0,0,P/N
5,2,0,0,0,NSW8MTR-OPEN-001
6,2,0,0,0,NSN
7,2,0,0,0,1940-01–646–7565
0,3,0,0,0,"HEADQUARTERS,"
1,3,0,0,0,DEPARTMENT
2,3,0,0,0,OF
3,3,0,0,0,THE
4,3,0,0,0,ARMY
5,3,0,0,0,JUNE
6,3,0,0,0,2019
0,4,0,0,0,WARNING
1,4,0,0,0,SUMMARY
0,5,0,0,0,FIRST
1,5,0,0,0,AID
0,6,0,0,0,GENERAL
1,6,0,0,0,SAFETY
2,6,0,0,0,WARNING
3,6,0,0,0,DESCRIPTIONS
0,7,0,0,0,WARNING
0,8,0,0,0,WARNING
0,9,0,0,0,WARNING
0,10,0,0,0,WARNING
0,11,0,0,0,WARNING
0,12,0,0,0,TM
1,12,0,0,0,5-1940-328-10
2,12,0,0,0,a
0,13,0,0,0,WARNING
1,13,0,0,0,SUMMARY
2,13,0,0,0,-
3,13,0,0,0,Continued
0,14,0,0,0,GENERAL
1,14,0,0,0,SAFETY
2,14,0,0,0,WARNING
3,14,0,0,0,DESCRIPTIONS
4,14,0,0,0,-
5,14,0,0,0,Continued
0,15,0,0,0,WARNING
0,16,0,0,0,WARNING
0,17,0,0,0,WARNING
0,18,0,0,0,WARNING
0,19,0,0,0,EXPLANATION
1,19,0,0,0,OF
2,19,0,0,0,HAZARDOUS
3,19,0,0,0,MATERIAL
4,19,0,0,0,ICONS
0,20,0,0,0,TM
1,20,0,0,0,5-1940-328-10
2,20,0,0,0,b
0,21,0,0,0,WARNING
1,21,0,0,0,SUMMARY
2,21,0,0,0,-
3,21,0,0,0,Continued
0,22,0,0,0,EXPLANATION
1,22,0,0,0,OF
2,22,0,0,0,HAZARDOUS
3,22,0,0,0,MATERIAL
4,22,0,0,0,ICONS
5,22,0,0,0,-
6,22,0,0,0,Continued
0,23,0,0,0,HAZARDOUS
1,23,0,0,0,MATERIALS
2,23,0,0,0,WARNING
3,23,0,0,0,DESCRIPTIONS
0,24,0,0,0,WARNING
0,25,0,0,0,TM
1,25,0,0,0,5-1940-328-10
2,25,0,0,0,c
0,26,0,0,0,WARNING
1,26,0,0,0,SUMMARY
2,26,0,0,0,-
3,26,0,0,0,Continued
0,27,0,0,0,HAZARDOUS
1,27,0,0,0,MATERIALS
2,27,0,0,0,WARNING
3,27,0,0,0,DESCRIPTIONS
4,27,0,0,0,-
5,27,0,0,0,Continued
0,28,0,0,0,WARNING
0,29,0,0,0,TM
1,29,0,0,0,5-1940-328-10
2,29,0,0,0,e/blank
0,30,0,0,0,Original
1,30,0,0,0,01
2,30,0,0,0,June
3,30,0,0,0,2019
0,31,0,0,0,TOTAL
1,31,0,0,0,NUMBER
2,31,0,0,0,OF
3,31,0,0,0,PAGES
4,31,0,0,0,FOR
5,31,0,0,0,FRONT
6,31,0,0,0,AND
7,31,0,0,0,REAR
8,31,0,0,0,MATTER
9,31,0,0,0,IS
10,31,0,0,0,32
11,31,0,0,0,AND
12,31,0,0,0,TOTAL
13,31,0,0,0,NUMBER
14,31,0,0,0,OF
15,31,0,0,0,WORK
16,31,0,0,0,PACKAGES
17,31,0,0,0,IS
18,31,0,0,0,"63,"
19,31,0,0,0,CONSISTING
20,31,0,0,0,OF
21,31,0,0,0,THE
22,31,0,0,0,FOLLOWING:
0,32,0,0,0,Page/WP
1,32,0,0,0,No.
2,32,0,0,0,Change
3,32,0,0,0,No.
0,33,0,0,0,Page/WP
1,33,0,0,0,No.
2,33,0,0,0,Change
3,33,0,0,0,No.
0,34,0,0,0,TM
1,34,0,0,0,5-1940-328-10
0,35,0,0,0,LIST
1,35,0,0,0,OF
2,35,0,0,0,EFFECTIVE
3,35,0,0,0,PAGES/WORK
4,35,0,0,0,PACKAGES
0,36,0,0,0,A/blank
0,37,0,0,0,"HEADQUARTERS,"
1,37,0,0,0,DEPARTMENT
2,37,0,0,0,OF
3,37,0,0,0,THE
4,37,0,0,0,ARMY
5,37,0,0,0,"WASHINGTON,"
6,37,0,0,0,"DC,"
7,37,0,0,0,01
8,37,0,0,0,JUNE
9,37,0,0,0,2019
0,38,0,0,0,OPERATOR
1,38,0,0,0,MANUAL
0,39,0,0,0,FOR
0,40,0,0,0,RIGID
1,40,0,0,0,INFLATABLE
2,40,0,0,0,BOAT
3,40,0,0,0,(RIB)
4,40,0,0,0,P/N
5,40,0,0,0,NSW8MTR-OPEN-001
6,40,0,0,0,NSN
7,40,0,0,0,1940-01–646–7565
0,41,0,0,0,TM
1,41,0,0,0,5-1940-328-10
2,41,0,0,0,i
0,0,0,0,1,GENERAL
0,1,0,0,1,ILLUSTRATIONS
0,2,0,0,1,USING
1,2,0,0,1,THIS
2,2,0,0,1,MANUAL
0,3,0,0,1,ACCESSING
1,3,0,0,1,INFORMATION
0,4,0,0,1,LISTS
0,5,0,0,1,WORK
1,5,0,0,1,PACKAGES
0,6,0,0,1,"WARNINGS,"
1,6,0,0,1,"CAUTIONS,"
2,6,0,0,1,AND
3,6,0,0,1,NOTES
0,7,0,0,1,LOCATING
1,7,0,0,1,MAJOR
2,7,0,0,1,COMPONENTS
0,8,0,0,1,INITIAL
1,8,0,0,1,SETUP
0,9,0,0,1,Diver
1,9,0,0,1,12D
0,10,0,0,1,HOW
1,10,0,0,1,TO
2,10,0,0,1,USE
3,10,0,0,1,THIS
4,10,0,0,1,MANUAL
5,10,0,0,1,-
6,10,0,0,1,Continued
0,11,0,0,1,TROUBLESHOOTING
1,11,0,0,1,PROCEDURES
0,12,0,0,1,PREVENTIVE
1,12,0,0,1,MAINTENANCE
2,12,0,0,1,CHECKS
3,12,0,0,1,AND
4,12,0,0,1,SERVICES
5,12,0,0,1,(PMCS)
0,13,0,0,1,MAINTENANCE
1,13,0,0,1,PROCEDURES
0,14,0,0,1,REFERENCES
0,15,0,0,1,BASIC
1,15,0,0,1,ISSUE
2,15,0,0,1,ITEMS
3,15,0,0,1,(BII)
0,16,0,0,1,EXPENDABLE
1,16,0,0,1,AND
2,16,0,0,1,DURABLE
3,16,0,0,1,ITEMS
4,16,0,0,1,LIST
0,0,0,0,2,FOR
0,1,0,0,2,RIGID
1,1,0,0,2,INFLATABLE
2,1,0,0,2,BOAT
3,1,0,0,2,(RIB)
0,2,0,0,2,TM
1,2,0,0,2,5-1940-328-10
0,3,0,0,2,OPERATOR
1,3,0,0,2,GENERAL
2,3,0,0,2,INFORMATION
0,4,0,0,2,SCOPE
0,5,0,0,2,Figure
1,5,0,0,2,1.
2,5,0,0,2,Rigid
3,5,0,0,2,Inflatable
4,5,0,0,2,Boat.
0,6,0,0,2,Operator
1,6,0,0,2,Manual.
0,7,0,0,2,ARMY
1,7,0,0,2,RIGID
2,7,0,0,2,INFLATABLE
3,7,0,0,2,BOAT
4,7,0,0,2,"(RIB),"
5,7,0,0,2,PART
6,7,0,0,2,NUMBER
7,7,0,0,2,(P/N)
8,7,0,0,2,"NSW8MTR-OPEN-001,"
9,7,0,0,2,COMMERCIAL
10,7,0,0,2,AND
11,7,0,0,2,GOVERNMENT
12,7,0,0,2,ENTITY
13,7,0,0,2,CODE
14,7,0,0,2,(CAGEC)
15,7,0,0,2,"0ZFD4,"
16,7,0,0,2,NATIONAL
17,7,0,0,2,STOCK
18,7,0,0,2,NUMBER
19,7,0,0,2,(NSN)
20,7,0,0,2,1940-01-646-7565.
0,8,0,0,2,MAINTENANCE
1,8,0,0,2,"FORMS,"
