nword,data,tag,section,subsection,paragraph
1,Afterlife,h1,0,0,0
42,"The afterlife (also referred to as life after death, the world to come or reincarnation) is an existence in which the essential part of an individual's identity or their stream of consciousness continues to live after the death of their physical body.",p,0,0,1
46,"According to various ideas about the afterlife, the essential aspect of the individual that lives on after death may be some partial element, or the entire soul or spirit, of an individual, which carries with it and may confer personal identity or, on the contrary nirvana.",p,0,0,1
14,Belief in an afterlife is in contrast to the belief in oblivion after death.,p,0,0,1
44,"In some views, this continued existence takes place in a spiritual realm, and in other popular views, the individual may be reborn into this world and begin the life cycle over again, likely with no memory of what they have done in the past.",p,0,0,2
27,"In this latter view, such rebirths and deaths may take place over and over again continuously until the individual gains entry to a spiritual realm or otherworld.",p,0,0,2
11,"Major views on the afterlife derive from religion, esotericism and metaphysics.",p,0,0,2
39,"Some belief systems, such as those in the Abrahamic tradition, hold that the dead go to a specific plane of existence after death, as determined by God, or other divine judgment, based on their actions or beliefs during life.",p,0,0,3
32,"In contrast, in systems of reincarnation, such as those in the Indian religions, the nature of the continued existence is determined directly by the actions of the individual in the ended life.",p,0,0,3
3,Different metaphysical models,h2,1,0,4
10,Theists generally believe some afterlife awaits people when they die.,p,1,0,5
18,Members of some generally non-theistic religions tend to believe in an afterlife but without reference to a deity.,p,1,0,5
20,The Sadducees were an ancient Jewish sect that generally believed that there was a God but no existence after death.,p,1,0,5
46,"Many religions, whether they believe in the soul's existence in another world like Christianity, Islam, and many pagan belief systems, or reincarnation like many forms of Hinduism and Buddhism, believe that one's status in the afterlife is a reward or punishment for their conduct during life.",p,1,0,6
1,Reincarnation,h3,1,1,7
28,Reincarnation is the philosophical or religious concept that an aspect of a living being starts a new life in a different physical body or form after each death.,p,1,1,8
18,It is also called rebirth or transmigration and is a part of the Saṃsāra doctrine of cyclic existence.,p,1,1,8
16,"It is a central tenet of all major Indian religions, namely Buddhism, Hinduism, Jainism, and Sikhism.",p,1,1,8
27,"The idea of reincarnation is found in many ancient cultures, and a belief in rebirth/metempsychosis was held by historic Greek figures, such as Pythagoras, Socrates, and Plato.",p,1,1,8
18,"It is also a common belief of various ancient and modern religions such as Spiritism, Theosophy, and Eckankar.",p,1,1,8
23,"It is found as well in many tribal societies around the world, in places such as Australia, East Asia, Siberia, and South America.",p,1,1,8
48,"Although the majority of denominations within the Abrahamic religions of Judaism, Christianity, and Islam do not believe that individuals reincarnate, particular groups within these religions do refer to reincarnation; these groups include the mainstream historical and contemporary followers of Kabbalah, the Cathars, Alawites, the Druze, and the Rosicrucians.",p,1,1,9
39,"The historical relations between these sects and the beliefs about reincarnation that were characteristic of Neoplatonism, Orphism, Hermeticism, Manicheanism, and Gnosticism of the Roman era as well as the Indian religions have been the subject of recent scholarly research.",p,1,1,9
