nword,data,tag,section,subsection,paragraph
1,Agnosticism,h1,0,0,0
19,"Agnosticism is the view that the existence of God, of the divine or the supernatural is unknown or unknowable.",p,0,0,1
32,"Another definition provided is the view that ""human reason is incapable of providing sufficient rational grounds to justify either the belief that God exists or the belief that God does not exist.""",p,0,0,1
83,"The English biologist Thomas Henry Huxley coined the word agnostic in 1869, and said ""It simply means that a man shall not say he knows or believes that which he has no scientific grounds for professing to know or believe."" Earlier thinkers, however, had written works that promoted agnostic points of view, such as Sanjaya Belatthaputta, a 5th-century BCE Indian philosopher who expressed agnosticism about any afterlife; and Protagoras, a 5th-century BCE Greek philosopher who expressed agnosticism about the existence of ""the gods"".",p,0,0,2
2,Defining agnosticism,h2,1,0,3
11,"Agnosticism is of the essence of science, whether ancient or modern.",p,1,0,4
26,It simply means that a man shall not say he knows or believes that which he has no scientific grounds for professing to know or believe.,p,1,0,4
19,"Consequently, agnosticism puts aside not only the greater part of popular theology, but also the greater part of anti-theology.",p,1,0,4
30,"On the whole, the ""bosh"" of heterodoxy is more offensive to me than that of orthodoxy, because heterodoxy professes to be guided by reason and science, and orthodoxy does not.",p,1,0,4
41,"That which Agnostics deny and repudiate, as immoral, is the contrary doctrine, that there are propositions which men ought to believe, without logically satisfactory evidence; and that reprobation ought to attach to the profession of disbelief in such inadequately supported propositions.",p,1,0,5
24,"Agnosticism, in fact, is not a creed, but a method, the essence of which lies in the rigorous application of a single principle ...",p,1,0,6
27,"Positively the principle may be expressed: In matters of the intellect, follow your reason as far as it will take you, without regard to any other consideration.",p,1,0,6
20,And negatively: In matters of the intellect do not pretend that conclusions are certain which are not demonstrated or demonstrable.,p,1,0,6
14,"Being a scientist, above all else, Huxley presented agnosticism as a form of demarcation.",p,1,0,7
14,"A hypothesis with no supporting, objective, testable evidence is not an objective, scientific claim.",p,1,0,7
15,"As such, there would be no way to test said hypotheses, leaving the results inconclusive.",p,1,0,7
20,"His agnosticism was not compatible with forming a belief as to the truth, or falsehood, of the claim at hand.",p,1,0,7
9,Karl Popper would also describe himself as an agnostic.,p,1,0,7
5,According to philosopher William L.,p,1,0,7
35,"Rowe, in this strict sense, agnosticism is the view that human reason is incapable of providing sufficient rational grounds to justify either the belief that God exists or the belief that God does not exist.",p,1,0,7
2,George H.,p,1,0,8
45,"Smith, while admitting that the narrow definition of atheist was the common usage definition of that word, and admitting that the broad definition of agnostic was the common usage definition of that word, promoted broadening the definition of atheist and narrowing the definition of agnostic.",p,1,0,8
75,"Smith rejects agnosticism as a third alternative to theism and atheism and promotes terms such as agnostic atheism (the view of those who do not hold a belief in the existence of any deity, but claim that the existence of a deity is unknown or inherently unknowable) and agnostic theism (the view of those who believe in the existence of a deity(s), but claim that the existence of a deity is unknown or inherently unknowable).",p,1,0,8
1,Etymology,h3,1,1,9
42,"Agnostic (from Ancient Greek ἀ- (a-) 'without', and γνῶσις (gnōsis) 'knowledge') was used by Thomas Henry Huxley in a speech at a meeting of the Metaphysical Society in 1869 to describe his philosophy, which rejects all claims of spiritual or mystical knowledge.",p,1,1,10
14,"Early Christian church leaders used the Greek word gnosis (knowledge) to describe ""spiritual knowledge"".",p,1,1,11
28,"Agnosticism is not to be confused with religious views opposing the ancient religious movement of Gnosticism in particular; Huxley used the term in a broader, more abstract sense.",p,1,1,11
16,"Huxley identified agnosticism not as a creed but rather as a method of skeptical, evidence-based inquiry.",p,1,1,11
61,"The term Agnostic is also cognate with the Sanskrit word Ajñasi which translates literally to ""not knowable"", and relates to the ancient Indian philosophical school of Ajñana, which proposes that it is impossible to obtain knowledge of metaphysical nature or ascertain the truth value of philosophical propositions; and even if knowledge was possible, it is useless and disadvantageous for final salvation.",p,1,1,12
18,"In recent years, scientific literature dealing with neuroscience and psychology has used the word to mean ""not knowable"".",p,1,1,13
22,"In technical and marketing literature, ""agnostic"" can also mean independence from some parameters—for example, ""platform agnostic"" (referring to cross-platform software) or ""hardware-agnostic"".",p,1,1,13
2,Qualifying agnosticism,h3,1,2,14
