nword,data,tag,section,subsection,paragraph
1,Baal,h1,0,0,0
24,"Baal (/ˈbeɪəl, ˈbɑːəl/), properly Baʽal, was a title and honorific meaning ""owner"", ""lord"" in the Northwest Semitic languages spoken in the Levant during antiquity.",p,0,0,1
12,"From its use among people, it came to be applied to gods.",p,0,0,1
38,Scholars previously associated the theonym with solar cults and with a variety of unrelated patron deities but inscriptions have shown that the name Baʿal was particularly associated with the storm and fertility god Hadad and his local manifestations.,p,0,0,1
26,"The Hebrew Bible includes use of the term in reference to various Levantine deities, often with application towards Hadad, who was decried as a false god.",p,0,0,2
16,"That use was taken over into Christianity and Islam, sometimes under the form Beelzebub in demonology.",p,0,0,2
1,Etymology,h2,1,0,3
32,"The spelling of the English term ""Baal"" derives from the Greek Báal (Βάαλ which appears in the New Testament and Septuagint, and from its Latinized form Baal, which appears in the Vulgate.",p,1,0,4
16,These forms in turn derive from the vowel-less Northwest Semitic form BʿL (Phoenician and Punic: 𐤁𐤏𐤋).,p,1,0,4
31,"The word's biblical senses as a Phoenician deity and false gods generally were extended during the Protestant Reformation to denote any idols, icons of the saints, or the Catholic Church generally.",p,1,0,4
17,"In such contexts, it follows the anglicized pronunciation and usually omits any mark between its two As.",p,1,0,4
13,"In close transliteration of the Semitic name, the ayin is represented, as Baʿal.",p,1,0,4
22,"In the Northwest Semitic languages—Ugaritic, Phoenician, Hebrew, Amorite, and Aramaic—the word baʿal signified ""owner"" and, by extension, ""lord"", a ""master"", or ""husband"".",p,1,0,5
13,"Cognates include the Akkadian Bēlu (𒂗), Amharic bal (ባል), and Arabic baʿl (بَعْل).",p,1,0,5
17,"Báʿal (בַּעַל) and baʿl still serve as the words for ""husband"" in modern Hebrew and Arabic respectively.",p,1,0,5
15,They also appear in some contexts concerning the ownership of things or possession of traits.,p,1,0,5
32,"The feminine form is baʿalah (Hebrew: בַּעֲלָה‎; Arabic: بَعْلَة‎), meaning ""mistress"" in the sense of a female owner or lady of the house and still serving as a rare word for ""wife"".",p,1,0,6
13,Suggestions in early modern scholarship also included comparison with the Celtic god Belenus.,p,1,0,7
2,Semitic religion,h2,2,0,8
1,Generic,h3,2,1,9
32,"Like EN in Sumerian, the Akkadian bēlu and Northwest Semitic baʿal (as well as its feminine form baʿalah) was used as a title of various deities in the Mesopotamian and Semitic pantheons.",p,2,1,10
16,"Only a definitive article, genitive or epithet, or context could establish which particular god was meant.",p,2,1,10
1,Hadad,h3,2,2,11
24,"Baʿal was also used as a proper name by the third millennium BCE, when he appears in a list of deities at Abu Salabikh.",p,2,2,12
30,"Most modern scholarship asserts that this Baʿal—usually distinguished as ""The Lord"" (הבעל, Ha Baʿal)—was identical with the storm and fertility god Hadad; it also appears in the form Baʿal Haddu.",p,2,2,12
54,"Scholars propose that, as the cult of Hadad increased in importance, his true name came to be seen as too holy for any but the high priest to speak aloud and the alias ""Lord"" (""Baʿal"") was used instead, as ""Bel"" was used for Marduk among the Babylonians and ""Adonai"" for Yahweh among the Israelites.",p,2,2,12
20,A minority propose that Baʿal was a native Canaanite deity whose cult was identified with or absorbed aspects of Adad's.,p,2,2,12
28,"Regardless of their original relationship, by the 1st millennium BCE, the two were distinct: Hadad was worshipped by the Aramaeans and Baʿal by the Phoenicians and other Canaanites.",p,2,2,12
1,El,h3,2,3,13
11,The Phoenician Baʿal is generally identified with either El or Dagan.,p,2,3,14
1,Baʿal,h3,2,4,15
32,"Baʿal is well-attested in surviving inscriptions and was popular in theophoric names throughout the Levant but he is usually mentioned along with other gods, ""his own field of action being seldom defined"".",p,2,4,16
18,"Nonetheless, Ugaritic records show him as a weather god, with particular power over lightning, wind, rain, and fertility.",p,2,4,16
29,The dry summers of the area were explained as Baʿal's time in the underworld and his return in autumn was said to cause the storms which revived the land.,p,2,4,16
43,"Thus, the worship of Baʿal in Canaan—where he eventually supplanted El as the leader of the gods and patron of kingship—was connected to the regions' dependence on rainfall for its agriculture, unlike Egypt and Mesopotamia, which focused on irrigation from their major rivers.",p,2,4,16
26,"Anxiety about the availability of water for crops and trees increased the importance of his cult, which focused attention on his role as a rain god.",p,2,4,16
25,"He was also called upon during battle, showing that he was thought to intervene actively in the world of man, unlike the more aloof El.",p,2,4,16
9,The Lebanese city of Baalbeck was named after Baal.,p,2,4,16
25,"The Baʿal of Ugarit was the epithet of Hadad but as the time passed, the epithet became the god's name while Hadad became the epithet.",p,2,4,17
