nword,data,tag,section,subsection,paragraph
1,Instrumentalism,h1,0,0,0
36,"In philosophy of science and in epistemology, instrumentalism is a methodological view that ideas are useful instruments, and that the worth of an idea is based on how effective it is in explaining and predicting phenomena.",p,0,0,1
21,"According to instrumentalists, a successful scientific theory reveals nothing known either true or false about nature's unobservable objects, properties or processes.",p,0,0,2
40,"Scientific theory is merely a tool whereby humans predict observations in a particular domain of nature by formulating laws, which state or summarize regularities, while theories themselves do not reveal supposedly hidden aspects of nature that somehow explain these laws.",p,0,0,2
11,Instrumentalism is a perspective originally introduced by Pierre Duhem in 1906.,p,0,0,2
31,"Rejecting scientific realism's ambitions to uncover metaphysical truth about nature, instrumentalism is usually categorized as an antirealism, although its mere lack of commitment to scientific theory's realism can be termed nonrealism.",p,0,0,3
38,"Instrumentalism merely bypasses debate concerning whether, for example, a particle spoken about in particle physics is a discrete entity enjoying individual existence, or is an excitation mode of a region of a field, or is something else altogether.",p,0,0,3
16,"Instrumentalism holds that theoretical terms need only be useful to predict the phenomena, the observed outcomes.",p,0,0,3
6,There are multiple versions of instrumentalism.,p,0,0,4
1,History,h2,1,0,5
2,British empiricism,h3,1,1,6
32,"Newton's theory of motion, whereby any object instantly interacts with all other objects across the universe, motivated the founder of British empiricism, John Locke, to speculate that matter is capable of thought.",p,1,1,7
38,"The next leading British empiricist, George Berkeley, argued that an object's putative primary qualities as recognized by scientists, such as shape, extension, and impenetrability, are inconceivable without the putative secondary qualities of color, hardness, warmth, and so on.",p,1,1,7
22,He also posed the question how or why an object could be properly conceived to exist independently of any perception of it.,p,1,1,7
34,"Berkeley did not object to everyday talk about the reality of objects, but instead took issue with philosophers' talk, who spoke as if they knew something beyond sensory impressions that ordinary folk did not.",p,1,1,7
23,"For Berkeley, a scientific theory does not state causes or explanations, but simply identifies perceived types of objects and traces their typical regularities.",p,1,1,8
33,"Berkeley thus anticipated the basis of what Auguste Comte in the 1830s called positivism, although Comtean positivism added other principles concerning the scope, method, and uses of science that Berkeley would have disavowed.",p,1,1,8
34,"Berkeley also noted the usefulness of a scientific theory having terms that merely serve to aid calculations without their having to refer to anything in particular, so long as they proved useful in practice.",p,1,1,8
38,"Berkeley thus predated the insight that logical positivists—who originated in the late 1920s, but who, by the 1950s, had softened into logical empiricists—would be compelled to accept: theoretical terms in science do not always translate into observational terms.",p,1,1,8
33,"The last great British empiricist, David Hume, posed a number of challenges to Francis Bacon's inductivism, which had been the prevailing, or at least the professed view concerning the attainment of scientific knowledge.",p,1,1,9
27,"Regarding himself as having placed his own theory of knowledge on par with Newton's theory of motion, Hume supposed that he had championed inductivism over scientific realism.",p,1,1,9
24,"Upon reading Hume's work, Immanuel Kant was ""awakened from dogmatic slumber"", and thus sought to neutralise any threat to science posed by Humean empiricism.",p,1,1,9
9,Kant would develop the first stark philosophy of physics.,p,1,1,9
2,German idealism,h3,1,2,10
43,"To save Newton's law of universal gravitation, Immanuel Kant reasoned that the mind is the precondition of experience and so, as the bridge from the noumena, which are how the world's things exist in themselves, to the phenomena, which are humans' recognized experiences.",p,1,2,11
35,"And so mind itself contains the structure that determines space, time, and substance, how mind's own categorization of noumena renders space Euclidean, time constant, and objects' motions exhibiting the very determinism predicted by Newtonian physics.",p,1,2,11
26,"Kant apparently presumed that the human mind, rather than a phenomenon itself that had evolved, had been predetermined and set forth upon the formation of humankind.",p,1,2,11
17,"In any event, the mind also was the veil of appearance that scientific methods could never lift.",p,1,2,11
23,"And yet the mind could ponder itself and discover such truths, although not on a theoretical level, but only by means of ethics.",p,1,2,11
29,"Kant's metaphysics, then, transcendental idealism, secured science from doubt—in that it was a case of ""synthetic a priori"" knowledge (""universal, necessary and informative"")—and yet discarded hope of scientific realism.",p,1,2,11
31,"Meanwhile, it was a watershed for idealist metaphysics, and launched German idealism, most influentially Hegel's absolute idealism or objective idealism, or at least interpretations, often misinterpretations, and political misuses, of it.",p,1,2,11
2,Logical empiricism,h3,1,3,12
