nword,data,tag,section,subsection,paragraph
1,Israelites,h1,0,0,0
33,"The Israelites (/ˈɪzriəlaɪts/; Hebrew: בני ישראל‎ Bnei Yisra'el) were a confederation of Iron Age Semitic-speaking tribes of the ancient Near East, who inhabited a part of Canaan during the tribal and monarchic periods.",p,0,0,1
17,"In the Hebrew Bible, the term Israelites is used interchangeably with the term Twelve Tribes of Israel.",p,0,0,2
14,"Although related, the terms Hebrews, Israelites, and Jews are not interchangeable in all instances.",p,0,0,2
53,"""Israelites"" (Yisraelim) refers to the people whom the Hebrew Bible describes specifically as the direct descendants of any of the sons of the patriarch Jacob (later called Israel), and his descendants as a people are also collectively called ""Israel"", including converts to their faith in worship of the national god of Israel, Yahweh.",p,0,0,2
34,"""Hebrews"" (ʿIvrim), on the contrary, is used to denote the Israelites' immediate forebears who dwelt in the land of Canaan, the Israelites themselves, and the Israelites' ancient and modern descendants (including Jews and Samaritans).",p,0,0,2
26,"""Jews"" (Yehudim) is used to denote the descendants of the Israelites who coalesced when the Tribe of Judah absorbed the remnants of various other Israelite tribes.",p,0,0,2
40,"During the period of the divided monarchy, ""Israelites"" was only used to refer to the inhabitants of the northern Kingdom of Israel, and it is only extended to cover the people of the southern Kingdom of Judah in post-exilic usage.",p,0,0,3
32,"Efforts to confirm the Israelites' biblical origins through archaeology, once widespread, have been largely abandoned as unproductive, with many scholars viewing the stories as inspiring national myth narratives with little historical value.",p,0,0,4
59,"Based on the archaeological evidence, according to the modern archaeological account, the Israelites and their culture did not overtake the region by force, but instead branched out of the indigenous Canaanite peoples that long inhabited the Southern Levant, Syria, ancient Israel, and the Transjordan region through a gradual evolution of a distinct monolatristic—later cementing as monotheistic—religion centered on Yahweh.",p,0,0,5
34,"The outgrowth of Yahweh-centric monolatrism from Canaanite polytheism started with Yahwism, the belief in the existence of the many gods and goddesses of the Canaanite pantheon but with the consistent worship of only Yahweh.",p,0,0,5
17,"Along with a number of cultic practices, this gave rise to a separate Israelite ethnic group identity.",p,0,0,5
28,The final transition of their Yahweh-based religion to monotheism and rejection of the existence of the other Canaanite gods set the Israelites apart from their fellow Canaanite brethren.,p,0,0,5
32,"The Israelites, however, continued to retain various cultural commonalities with other Canaanites, including use of one of the Canaanite dialects, Hebrew, which is today the only living descendant of that language group.",p,0,0,5
